id,MW,cLogP,HBD,HBA,RotB,charge
CHEMBL426580,354.211,4.320620000000002,2,4,2,0
CHEMBL327838,455.3120000000001,3.740800000000002,2,6,7,0
CHEMBL328704,452.3560000000001,4.4196000000000035,2,5,6,0
CHEMBL172652,341.172,3.4072000000000005,2,5,2,0
CHEMBL366580,340.184,4.012200000000001,2,4,2,0
CHEMBL92356,493.4090000000002,3.715300000000002,2,6,5,0
CHEMBL94062,397.2320000000001,3.070100000000001,3,5,3,0
CHEMBL93784,494.39300000000014,4.188600000000003,2,6,6,0
CHEMBL176582,354.211,4.0226000000000015,1,5,2,0
CHEMBL93386,466.3390000000001,3.410000000000001,2,6,4,0
CHEMBL92731,482.42600000000016,5.752600000000005,2,5,10,0
CHEMBL93049,441.2850000000001,3.6983000000000015,2,6,6,0
CHEMBL92961,480.41000000000014,5.196600000000004,2,5,6,0
CHEMBL175101,411.30700000000013,4.047200000000002,1,6,5,0
CHEMBL328245,480.4100000000002,5.199800000000004,2,5,8,0
CHEMBL91925,454.3720000000001,4.972400000000004,2,5,8,0
CHEMBL316127,468.35500000000013,3.9628000000000014,2,6,6,0
CHEMBL174426,354.21100000000007,4.022600000000002,1,5,2,0
CHEMBL91009,411.25900000000007,3.7242000000000015,2,5,4,0
CHEMBL173498,352.19500000000005,4.079100000000001,1,5,2,0
CHEMBL90595,464.36700000000013,4.563700000000003,2,5,4,0
CHEMBL419501,496.40900000000016,4.741400000000003,2,6,8,0
CHEMBL91811,452.3560000000001,4.418000000000004,2,5,5,0
CHEMBL328977,482.4070000000001,4.126600000000002,2,6,4,0
CHEMBL329856,424.3020000000001,3.639400000000001,2,5,4,0
CHEMBL442754,470.3710000000001,4.208800000000003,2,6,9,0
CHEMBL94109,549.517,5.580900000000005,2,6,7,0
CHEMBL91867,381.23300000000006,4.0977000000000015,2,4,3,0
CHEMBL176891,411.30700000000013,4.047200000000003,1,6,5,0
CHEMBL414220,450.3400000000001,4.195600000000002,2,5,6,0
CHEMBL301359,130.15,1.6297999999999997,0,2,0,0
CHEMBL53375,331.17300000000006,3.539500000000002,1,5,3,0
CHEMBL52472,160.17600000000002,1.6383999999999999,0,3,1,0
CHEMBL53796,344.216,3.5969000000000015,1,5,3,0
CHEMBL53299,436.3130000000001,5.151600000000003,2,6,6,0
CHEMBL298637,330.189,3.5726000000000013,2,5,3,0
CHEMBL50519,331.17300000000006,3.539500000000002,1,5,3,0
CHEMBL53062,331.17300000000006,3.539500000000002,1,5,3,0
CHEMBL54805,301.14700000000005,3.530900000000001,1,4,2,0
CHEMBL53300,145.16500000000002,1.212,1,3,0,0
CHEMBL53711,344.216,3.5969000000000015,1,5,3,0
CHEMBL291496,335.59200000000004,4.184300000000001,1,4,2,0
CHEMBL52418,358.19900000000007,3.489300000000001,2,5,3,0
