name,molecule_chembl_id,smiles,max_phase,best_pchembl,best_standard_nM,activity_types,source,zinc_id,replicate
,,Cc1cc(NC(=O)C(=O)N(C)CC[C@@H]2CCO2)cnc1Cl,,,,,,ZINClm00000AivMl,1
,,CCN1CC[C@@H]1CNC(=O)C1(NC(=O)CC[C@H](C)OC)CCOCC1,,,,,,ZINCpc000015MdZG,1
,,COC1CC(N=c2[nH]c(C3CC3)nc(=NCCCc3nncs3)[nH]2)C1,,,,,,ZINCps00000CF5r5,1
,,CC(C)=C(C)CC(=O)N[C@H](CC1CCC1)C(=O)NC1C2CCC1CC2,,,,,,ZINCpH00000sVrF6,1
,,COC1CC(N=c2[nH]c(=NC[C@@H](C)S(C)(=O)=O)c3ccccc3[nH]2)C1,,,,,,ZINCpq00000CF5ri,1
,,CCC[C@](C)(CC)C(=O)N[C@H]1CCN(C(=O)CC2CCC2)C1,,,,,,ZINCmB000004pexQ,1
,,Cc1nc(-c2ccn(C(C)C)c2C)n(-c2cccc(C(N)=O)c2)n1,,,,,,ZINCoA0000087Tnp,1
,,CCc1ncc(S(=O)(=O)N[C@@H](C)CN(C)C(=O)C[C@H](C)CC)o1,,,,,,ZINCnn00001A1dJN,1
,,CC1(C)CN(C(=O)C(=O)N[C@@H]2C[C@@H]3COC[C@@H]32)CC1(F)F,,,,,,ZINClc00000AivMq,1
,,O=C(N[C@H]1CCOc2ccc(Br)cc21)[C@H]1C=CCNC1,,,,,,ZINCkr000000jLqW,1
,,CCN1CC[C@H]1CNC(=O)C1(NC(=O)[C@H]2CCCCNC2=O)CSC1,,,,,,ZINCp5000015MdZK,1
,,C[C@H](Sc1ccc(Cl)cc1)C(=O)NCCOCCNC(=O)C[C@@H](C)F,,,,,,ZINCpy00000oyTaQ,1
,,CCc1ncc(S(=O)(=O)N[C@@H](C)CNC(=O)[C@@H]2CCCSC2)o1,,,,,,ZINCnh00001A1dK0,1
,,COC1CC(Nc2[nH]c(=NCC[C@@H](C)O)nc3c2ncn3C(C)C)C1,,,,,,ZINCpr00000CF5rg,1
,,CCc1ncc(S(=O)(=O)N[C@@H](C)CNC(=O)C[C@@H](C)CC)n1C,,,,,,ZINCni00001A1dJW,1
,,Cc1cccc(Cl)c1C(=O)N1CC[C@H]([C@@H]2CCCN2C)C1,,,,,,ZINClC00000nlpor,1
,,CN(CC1CCN(C(=O)C#CC2CC2)C1)C(=O)C(C)(C)C#N,,,,,,ZINCmi00000fJPok,1
,,CCC[C@](C)(CCCNC(=O)c1nocc1Br)C1OCCO1,,,,,,ZINCmB000004pez1,1
,,CC[C@H](C)C[C@H](C)C(=O)N(C)CCN(C)C(=O)CC12COC(C)(C1)C2,,,,,,ZINCpz000005RHga,1
,,CCN1CC[C@@H]1CNC(=O)CC1=CCN(C(=O)[C@@H](O)CN(C)C)CC1,,,,,,ZINCp5000015Me00,1
,,CCN(CC(C)NC(=O)C(F)F)C(=O)C=CCOCCOC,,,,,,ZINCme00000fJPF1,1
,,CCN1CC[C@@H]1CNC(=O)C1=NO[C@H](CNC(=O)c2ccc(F)s2)C1,,,,,,ZINCpf000015MdZR,1
,,CSc1ccnc(N2CCC(C(C)(C)CNC(=O)CNC=O)CC2)n1,,,,,,ZINCpj00001BP6JU,1
,,CCN1CC[C@H]1CNC(=O)CCCCCNC(=O)c1ccncc1N,,,,,,ZINCph000015Me0b,1
,,CCN1CC[C@@H]1CNC(=O)c1c[nH]nc1CNC(=O)C1=NNC(=O)C1,,,,,,ZINCp4000015MdZl,1
,,CC[C@H](C)C[C@@H](C)C(=O)N[C@@H]1CCCCN(C(=O)C2(C(C)=O)CC2)C1,,,,,,ZINCpz000005RH5V,1
,,C[C@H](NC(=O)[C@@H]1C[C@@]1(F)Cl)c1nocc1C(=O)N[C@@H]1CC1(C)C,,,,,,ZINCnt00000r2mEr,1
,,CSC1CC(N(C)C(=O)[C@@H](NC(=O)c2ncc(C)cc2F)[C@H](C)O)C1,,,,,,ZINCpj00001BP6Jz,1
,,CSC1CC(N(C)C(=O)[C@@H](NC(=O)C[C@@H]2C[C@H]3C=C[C@@H]2C3)[C@H](C)O)C1,,,,,,ZINCpo00001BP6JA,1
,,COC[C@H](C)C(=O)N1CC=C[C@H]1C(=O)NCC#Cc1cccnc1,,,,,,ZINCob00000HT9HP,1
,,CCN1CC[C@H]1CNC(=O)C1(NC(=O)[C@H]2OCCC2(C)C)CC(F)C1,,,,,,ZINCpf000015MdZL,1
,,COC[C@H](C)C(=O)N1CCC[C@H](CCC(=O)N2C[C@](C)(O)CO2)C1,,,,,,ZINCoe00000HT9I7,1
,,C=C1CC(C(=O)NC[C@@H](CC)NC(=O)c2cccc3[nH]ccc23)C1,,,,,,ZINCox0000027KD6,1
,,CCN1CC[C@H]1CNC(=O)c1sccc1CNC(=O)[C@H]1CNC(=O)C1,,,,,,ZINCp9000015MdZV,1
,,COC[C@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@H]1C2CCN(CC2)[C@@H]1C,,,,,,ZINCoe00000HT9HR,1
,,CC[C@H](C)C[C@H](C)C(=O)N(C)C1CCN(c2cc(Cl)c(O)nn2)CC1,,,,,,ZINCpz000005RHd2,1
,,CC[C@H](C)C[C@@H](C)C(=O)N1CC[C@H](C)N(C(=O)c2snnc2C)CC1,,,,,,ZINCpz000005RGIx,1
,,CCN1CC[C@@H]1CNC(=O)c1n[nH]c2c1CN(C(=O)[C@@H](O)CSC)C2,,,,,,ZINCp5000015MdZO,1
,,COC[C@H](C)C(=O)N1CCC[C@@H](CCNC(=O)C2CS(=O)C2)CC1,,,,,,ZINCod00000HT9Ib,1
,,C=CC(C)(C)CC(=O)N[C@@H](CC1CCC1)C(=O)NC1C2CCC1CC2,,,,,,ZINCpF00000sVrF4,1
,,CCc1ncc(S(=O)(=O)N[C@H](C)CCNC(=O)[C@H]2C[C@@H](O)C2)s1,,,,,,ZINCnc00001A1dJH,1
,,CCc1ncc(S(=O)(=O)N[C@@H](C)CCC(=O)OC(C)(C)C)n1C,,,,,,ZINCnn00001A1dJB,1
,,CC[C@H](C)C[C@@H](C)C(=O)NC[C@H](CC)NC(=O)c1cnn(C2CC2)c1,,,,,,ZINCpz000005RGZw,1
,,C[C@H]1CC[C@@H]1C(=O)NC[C@H]1CCCN(C(=O)C[C@H]2CSCCO2)CC1,,,,,,ZINCpt00000yMt0W,1
,,CCN(CCCNC(=O)CC(Cl)Cl)C(=O)c1ccc(Cl)cc1C,,,,,,ZINCnI00000llstg,1
,,Cc1ccc(C#N)cc1C(=O)NOCC(=O)N[C@@H](C)CS(C)(=O)=O,,,,,,ZINCo600000HFAhk,1
,,Cc1nc(-c2cccs2)sc1C(=O)NCCNC(=O)[C@H](C)C1CC1,,,,,,ZINCoA0000087TlX,1
,,Cc1nc(-c2ccn(C)n2)sc1CC(=O)N[C@H]1C[C@@H]2CCC[C@@H]2C1,,,,,,ZINCoA0000087TnU,1
,,Cc1cccc(NCCNC(=O)C(=O)N2C[C@H](C)[C@@H](C(=O)O)C2)n1,,,,,,ZINCo600000HFAhx,1
,,O=C(N[C@H]1CCO[C@H](c2cccnc2)C1)c1ccns1,,,,,,ZINCkr000000jLq1,1
,,COC(=O)C1(S(C)(=O)=O)CN(C(=O)C(C)C2=CC=C(Br)S2)C1,,,,,,ZINCmk00000fJQ4y,1
,,CCc1ncc(S(=O)(=O)N[C@H]2C[C@H]2NC(=O)[C@@H](C)[C@H](O)CC)s1,,,,,,ZINCnc00001A1dJo,1
,,O=C(N[C@H]1CCOC2(CCCC2)C1)C1(F)CCOCC1,,,,,,ZINCkr000000jLnW,1
